t,robot_id,target_future_conflict,state_AVAILABLE,state_IN_PROGRESS,is_carrying,x_norm,y_norm,local_density_3_smooth,local_density_5_smooth,density_3_zscore,density_3_peak,density_3_accel,density_5_zscore,density_5_peak,density_5_accel,steps_stationary,stationary_ratio,neighbour_static_count,density_3_delta,density_5_delta,density_spread,density_3_lag_1,density_5_lag_1,density_3_lag_2,density_5_lag_2,density_3_lag_3,density_5_lag_3
78,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,77,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
79,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,78,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
80,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,79,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
81,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,80,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
82,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,81,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
83,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,82,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
84,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,83,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
85,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,84,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
86,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,85,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
87,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,86,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
88,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,87,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
89,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,88,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
90,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,89,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
91,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,90,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
92,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,91,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
93,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,92,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
94,0,0.0,0,1,1,0.045454545454545456,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,93,1.0,43,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
