t,robot_id,x,y,state,held_item,path_length,local_density_3,local_density_5,stuck_duration,collision_vertex,collision_edge,is_stuck,is_deadlocked
15,28,9,15,IN_PROGRESS,1,0,0,5,0,0,0,0,0
15,29,8,21,IN_PROGRESS,0,4,1,3,0,0,0,0,0
15,30,8,22,IN_PROGRESS,0,9,1,2,0,0,0,0,0
15,31,10,18,IN_PROGRESS,1,0,1,5,0,0,0,0,0
15,32,12,12,IN_PROGRESS,0,6,0,2,0,0,0,0,0
15,33,14,16,IN_PROGRESS,1,13,2,2,1,0,0,0,0
15,34,14,15,IN_PROGRESS,1,0,1,5,0,0,0,0,0
15,35,15,18,IN_PROGRESS,1,0,1,4,0,0,0,0,0
15,36,16,22,IN_PROGRESS,0,0,2,5,0,0,0,0,0
15,37,19,15,IN_PROGRESS,1,0,1,2,0,0,0,0,0
15,38,18,22,IN_PROGRESS,0,0,4,5,0,0,0,0,0
15,39,19,22,IN_PROGRESS,0,6,4,5,4,0,0,1,0
15,40,20,22,IN_PROGRESS,0,11,4,5,4,0,0,1,0
15,41,21,22,IN_PROGRESS,0,9,4,5,1,0,0,0,0
15,42,21,15,IN_PROGRESS,1,22,1,1,1,0,0,0,0
15,43,23,22,IN_PROGRESS,0,0,2,4,0,0,0,0,0
16,0,5,8,IN_PROGRESS,1,0,1,2,0,0,0,0,0
16,1,3,1,IN_PROGRESS,0,0,2,4,0,0,0,0,0
16,2,4,1,IN_PROGRESS,0,6,2,5,5,0,0,1,0
16,3,5,1,IN_PROGRESS,0,8,3,5,5,0,0,1,0
16,4,3,5,IN_PROGRESS,1,6,0,4,0,0,0,0,0
16,5,7,8,IN_PROGRESS,1,14,1,3,0,0,0,0,0
16,6,8,1,IN_PROGRESS,0,0,3,7,0,0,0,0,0
16,7,9,1,IN_PROGRESS,0,0,2,7,0,0,0,0,0
16,8,10,1,IN_PROGRESS,0,10,3,6,5,0,0,1,0
16,9,8,5,IN_PROGRESS,1,8,0,5,0,0,0,0,0
16,10,11,8,IN_PROGRESS,1,0,0,4,0,0,0,0,0
16,11,13,1,IN_PROGRESS,0,0,4,7,0,0,0,0,0
16,12,14,1,IN_PROGRESS,0,9,3,5,5,0,0,1,0
16,13,15,1,IN_PROGRESS,0,11,3,4,5,0,0,1,0
16,14,16,8,IN_PROGRESS,1,12,0,2,1,0,0,0,0
16,15,12,5,IN_PROGRESS,1,16,0,3,0,0,0,0,0
16,16,16,1,IN_PROGRESS,0,11,3,4,5,0,0,1,0
16,17,20,5,IN_PROGRESS,1,19,1,2,0,0,0,0,0
16,18,20,8,IN_PROGRESS,0,0,1,2,0,0,0,0,0
16,19,21,1,IN_PROGRESS,0,0,2,4,0,0,0,0,0
16,20,22,1,IN_PROGRESS,0,5,2,2,1,0,0,0,0
16,21,23,1,IN_PROGRESS,0,17,2,2,5,0,0,1,0
16,22,5,15,IN_PROGRESS,0,10,3,6,1,0,0,0,0
16,23,3,13,IN_PROGRESS,0,21,1,3,0,0,0,0,0
16,24,3,14,IN_PROGRESS,0,7,2,3,0,0,0,0,0
16,25,5,18,IN_PROGRESS,1,12,2,5,1,0,0,0,0
16,26,6,15,IN_PROGRESS,1,7,3,6,0,0,0,0,0
16,27,7,17,IN_PROGRESS,1,5,2,7,0,0,0,0,0
16,28,9,15,IN_PROGRESS,1,0,1,5,0,0,0,0,0
16,29,8,20,IN_PROGRESS,0,3,1,4,0,0,0,0,0
16,30,8,21,IN_PROGRESS,0,8,1,3,0,0,0,0,0
16,31,10,18,IN_PROGRESS,1,0,0,6,0,0,0,0,0
