t,robot_id,x,y,state,held_item,path_length,local_density_3,local_density_5,stuck_duration,collision_vertex,collision_edge,is_stuck,is_deadlocked
3,32,12,22,AVAILABLE,0,0,6,10,0,0,0,0,0
3,33,13,22,AVAILABLE,0,0,6,10,0,0,0,0,0
3,34,14,22,AVAILABLE,0,0,6,10,0,0,0,0,0
3,35,15,22,AVAILABLE,0,0,6,10,0,0,0,0,0
3,36,16,22,AVAILABLE,0,0,6,10,0,0,0,0,0
3,37,17,22,AVAILABLE,0,0,6,10,0,0,0,0,0
3,38,18,22,AVAILABLE,0,0,6,10,0,0,0,0,0
3,39,19,22,AVAILABLE,0,0,6,9,0,0,0,0,0
3,40,20,22,AVAILABLE,0,0,6,8,0,0,0,0,0
3,41,21,22,AVAILABLE,0,0,5,7,0,0,0,0,0
3,42,22,22,AVAILABLE,0,0,4,6,0,0,0,0,0
3,43,23,22,AVAILABLE,0,0,3,5,0,0,0,0,0
4,0,2,1,IN_PROGRESS,0,0,3,5,0,0,0,0,0
4,1,3,1,IN_PROGRESS,0,0,4,6,0,0,0,0,0
4,2,4,1,IN_PROGRESS,0,0,5,7,0,0,0,0,0
4,3,5,1,IN_PROGRESS,0,0,6,8,0,0,0,0,0
4,4,6,1,IN_PROGRESS,0,0,6,9,0,0,0,0,0
4,5,7,1,IN_PROGRESS,0,0,6,10,0,0,0,0,0
4,6,8,1,IN_PROGRESS,0,0,6,10,0,0,0,0,0
4,7,9,1,IN_PROGRESS,0,0,6,10,0,0,0,0,0
4,8,10,1,IN_PROGRESS,0,0,6,10,0,0,0,0,0
4,9,11,1,IN_PROGRESS,0,0,6,10,0,0,0,0,0
4,10,12,1,IN_PROGRESS,0,0,6,10,0,0,0,0,0
4,11,13,1,IN_PROGRESS,0,0,6,10,0,0,0,0,0
4,12,14,1,IN_PROGRESS,0,0,6,10,0,0,0,0,0
4,13,15,1,IN_PROGRESS,0,0,6,10,0,0,0,0,0
4,14,16,1,IN_PROGRESS,0,0,6,10,0,0,0,0,0
4,15,17,1,IN_PROGRESS,0,0,6,10,0,0,0,0,0
4,16,18,1,IN_PROGRESS,0,0,6,10,0,0,0,0,0
4,17,19,1,IN_PROGRESS,0,0,6,9,0,0,0,0,0
4,18,20,1,IN_PROGRESS,0,0,6,8,0,0,0,0,0
4,19,21,1,IN_PROGRESS,0,0,5,7,0,0,0,0,0
4,20,22,1,IN_PROGRESS,0,0,4,6,0,0,0,0,0
4,21,23,1,IN_PROGRESS,0,0,3,5,0,0,0,0,0
4,22,2,22,IN_PROGRESS,0,0,3,5,0,0,0,0,0
4,23,3,22,IN_PROGRESS,0,0,4,6,0,0,0,0,0
4,24,4,22,IN_PROGRESS,0,0,5,7,0,0,0,0,0
4,25,5,22,IN_PROGRESS,0,0,6,8,0,0,0,0,0
4,26,6,22,IN_PROGRESS,0,0,6,9,0,0,0,0,0
4,27,7,22,IN_PROGRESS,0,0,6,10,0,0,0,0,0
4,28,8,22,IN_PROGRESS,0,0,6,10,0,0,0,0,0
4,29,9,22,IN_PROGRESS,0,0,6,10,0,0,0,0,0
4,30,10,22,IN_PROGRESS,0,0,6,10,0,0,0,0,0
4,31,11,22,IN_PROGRESS,0,0,6,10,0,0,0,0,0
4,32,12,22,IN_PROGRESS,0,0,6,10,0,0,0,0,0
4,33,13,22,IN_PROGRESS,0,0,6,10,0,0,0,0,0
4,34,14,22,IN_PROGRESS,0,0,6,10,0,0,0,0,0
4,35,15,22,IN_PROGRESS,0,0,6,10,0,0,0,0,0
4,36,16,22,IN_PROGRESS,0,0,6,10,0,0,0,0,0
4,37,17,22,IN_PROGRESS,0,0,6,10,0,0,0,0,0
4,38,18,22,IN_PROGRESS,0,0,6,10,0,0,0,0,0
4,39,19,22,IN_PROGRESS,0,0,6,9,0,0,0,0,0
4,40,20,22,IN_PROGRESS,0,0,6,8,0,0,0,0,0
4,41,21,22,IN_PROGRESS,0,0,5,7,0,0,0,0,0
4,42,22,22,IN_PROGRESS,0,0,4,6,0,0,0,0,0
4,43,23,22,IN_PROGRESS,0,0,3,5,0,0,0,0,0
5,0,2,1,IN_PROGRESS,0,0,3,5,0,0,0,0,0
5,1,3,1,IN_PROGRESS,0,9,4,6,1,0,0,0,0
5,2,4,1,IN_PROGRESS,0,0,5,7,0,0,0,0,0
5,3,5,1,IN_PROGRESS,0,10,6,8,1,0,0,0,0
5,4,6,1,IN_PROGRESS,0,6,6,9,1,0,0,0,0
5,5,7,1,IN_PROGRESS,0,9,6,10,1,0,0,0,0
5,6,8,1,IN_PROGRESS,0,0,6,10,0,0,0,0,0
5,7,9,1,IN_PROGRESS,0,0,6,10,0,0,0,0,0
5,8,10,1,IN_PROGRESS,0,8,6,10,1,0,0,0,0
5,9,11,1,IN_PROGRESS,0,9,6,10,1,0,0,0,0
5,10,12,1,IN_PROGRESS,0,0,6,10,0,0,0,0,0
5,11,13,1,IN_PROGRESS,0,0,6,10,0,0,0,0,0
5,12,14,1,IN_PROGRESS,0,10,6,10,1,0,0,0,0
5,13,15,1,IN_PROGRESS,0,7,6,10,1,0,0,0,0
5,14,16,1,IN_PROGRESS,0,9,6,10,1,0,0,0,0
5,15,17,1,IN_PROGRESS,0,0,6,10,0,0,0,0,0
5,16,18,1,IN_PROGRESS,0,0,6,10,0,0,0,0,0
5,17,19,1,IN_PROGRESS,0,6,6,9,1,0,0,0,0
5,18,20,1,IN_PROGRESS,0,0,6,8,0,0,0,0,0
5,19,21,1,IN_PROGRESS,0,11,5,7,1,0,0,0,0
5,20,22,1,IN_PROGRESS,0,0,4,6,0,0,0,0,0
5,21,23,1,IN_PROGRESS,0,10,3,5,1,0,0,0,0
5,22,2,22,IN_PROGRESS,0,6,3,5,1,0,0,0,0
5,23,3,22,IN_PROGRESS,0,7,4,6,1,0,0,0,0
5,24,4,22,IN_PROGRESS,0,0,5,7,0,0,0,0,0
5,25,5,22,IN_PROGRESS,0,10,6,8,1,0,0,0,0
5,26,6,22,IN_PROGRESS,0,9,6,9,1,0,0,0,0
5,27,7,22,IN_PROGRESS,0,0,6,10,0,0,0,0,0
5,28,8,22,IN_PROGRESS,0,8,6,10,1,0,0,0,0
5,29,9,22,IN_PROGRESS,0,6,6,10,1,0,0,0,0
5,30,10,22,IN_PROGRESS,0,0,6,10,0,0,0,0,0
5,31,11,22,IN_PROGRESS,0,6,6,10,1,0,0,0,0
5,32,12,22,IN_PROGRESS,0,0,6,10,0,0,0,0,0
5,33,13,22,IN_PROGRESS,0,0,6,10,0,0,0,0,0
5,34,14,22,IN_PROGRESS,0,0,6,10,0,0,0,0,0
5,35,15,22,IN_PROGRESS,0,0,6,10,0,0,0,0,0
5,36,16,22,IN_PROGRESS,0,7,6,10,1,0,0,0,0
5,37,17,22,IN_PROGRESS,0,5,6,10,1,0,0,0,0
5,38,18,22,IN_PROGRESS,0,0,6,10,0,0,0,0,0
5,39,19,22,IN_PROGRESS,0,6,6,9,1,0,0,0,0
5,40,20,22,IN_PROGRESS,0,8,6,8,1,0,0,0,0
5,41,21,22,IN_PROGRESS,0,6,5,7,1,0,0,0,0
5,42,22,22,IN_PROGRESS,0,8,4,6,1,0,0,0,0
5,43,23,22,IN_PROGRESS,0,20,3,5,1,0,0,0,0
6,0,2,1,IN_PROGRESS,0,0,2,4,0,0,0,0,0
6,1,3,2,IN_PROGRESS,0,8,4,5,0,0,0,0,0
6,2,4,1,IN_PROGRESS,0,0,4,7,0,0,0,0,0
6,3,5,2,IN_PROGRESS,0,9,4,7,0,0,0,0,0
6,4,6,2,IN_PROGRESS,0,5,5,9,0,0,0,0,0
6,5,7,2,IN_PROGRESS,0,8,4,8,0,0,0,0,0
6,6,8,1,IN_PROGRESS,0,0,4,9,0,0,0,0,0
6,7,9,1,IN_PROGRESS,0,0,5,10,0,0,0,0,0
6,8,10,1,IN_PROGRESS,0,8,5,8,2,0,0,1,0
6,9,11,2,IN_PROGRESS,0,8,4,10,0,0,0,0,0
6,10,12,1,IN_PROGRESS,0,0,5,9,0,0,0,0,0
6,11,13,1,IN_PROGRESS,0,0,5,10,0,0,0,0,0
6,12,14,1,IN_PROGRESS,0,10,5,10,2,0,0,1,0
6,13,15,2,IN_PROGRESS,0,6,4,8,0,0,0,0,0
6,14,16,2,IN_PROGRESS,0,8,4,9,0,0,0,0,0
6,15,17,1,IN_PROGRESS,0,0,6,10,0,0,0,0,0
6,16,18,1,IN_PROGRESS,0,0,5,10,0,0,0,0,0
6,17,19,1,IN_PROGRESS,0,6,5,9,2,0,0,1,0
6,18,20,1,IN_PROGRESS,0,0,6,7,0,0,0,0,0
6,19,21,1,IN_PROGRESS,0,11,5,6,2,0,0,1,0
6,20,22,1,IN_PROGRESS,0,0,4,6,0,0,0,0,0
6,21,23,1,IN_PROGRESS,0,10,3,5,2,0,0,1,0
6,22,2,21,IN_PROGRESS,0,5,2,4,0,0,0,0,0
6,23,3,21,IN_PROGRESS,0,6,4,6,0,0,0,0,0
6,24,4,22,IN_PROGRESS,0,0,5,7,0,0,0,0,0
6,25,5,22,IN_PROGRESS,0,10,5,8,2,0,0,1,0
6,26,6,21,IN_PROGRESS,0,8,6,9,0,0,0,0,0
6,27,7,22,IN_PROGRESS,0,0,6,9,0,0,0,0,0
6,28,8,21,IN_PROGRESS,0,7,5,9,0,0,0,0,0
6,29,8,22,IN_PROGRESS,0,5,5,9,0,0,0,0,0
6,30,10,22,IN_PROGRESS,0,0,6,10,0,0,0,0,0
6,31,11,21,IN_PROGRESS,0,5,4,10,0,0,0,0,0
6,32,12,22,IN_PROGRESS,0,0,5,9,0,0,0,0,0
6,33,13,22,IN_PROGRESS,0,0,5,9,0,0,0,0,0
6,34,14,22,IN_PROGRESS,0,0,4,9,0,0,0,0,0
6,35,15,22,IN_PROGRESS,0,0,6,10,0,0,0,0,0
6,36,16,21,IN_PROGRESS,0,6,4,10,0,0,0,0,0
6,37,17,21,IN_PROGRESS,0,4,4,9,0,0,0,0,0
6,38,18,22,IN_PROGRESS,0,0,5,10,0,0,0,0,0
6,39,19,22,IN_PROGRESS,0,6,5,9,2,0,0,1,0
6,40,20,22,IN_PROGRESS,0,8,5,8,2,0,0,1,0
6,41,21,21,IN_PROGRESS,0,5,4,7,0,0,0,0,0
6,42,22,21,IN_PROGRESS,0,7,3,6,0,0,0,0,0
6,43,22,22,IN_PROGRESS,0,19,4,5,0,0,0,0,0
7,0,2,1,IN_PROGRESS,0,0,2,3,0,0,0,0,0
7,1,3,3,IN_PROGRESS,0,7,4,5,0,0,0,0,0
7,2,4,1,IN_PROGRESS,0,0,3,7,0,0,0,0,0
7,3,5,3,IN_PROGRESS,0,8,4,6,0,0,0,0,0
7,4,6,3,IN_PROGRESS,0,4,3,7,0,0,0,0,0
7,5,7,3,IN_PROGRESS,0,7,3,8,0,0,0,0,0
7,6,8,1,IN_PROGRESS,0,0,3,9,0,0,0,0,0
7,7,9,1,IN_PROGRESS,0,0,3,9,0,0,0,0,0
